datetime;JUNG;JUNG1;DRBS;KIEL2
2019-04-11 07:00:00;167.011;390.877;113.724;188.733
2019-04-11 08:00:00;167.040;390.762;112.981;188.118
2019-04-11 09:00:00;167.275;391.403;112.895;188.658
2019-04-11 10:00:00;167.336;389.970;112.834;188.651
2019-04-11 11:00:00;166.758;390.689;112.867;188.517
2019-04-11 12:00:00;166.632;390.209;118.348;187.483
2019-04-11 13:00:00;166.417;390.679;166.062;188.248
2019-04-11 14:00:00;166.766;389.905;113.399;188.038
2019-04-11 15:00:00;166.858;390.967;113.246;188.010
2019-04-11 16:00:00;166.686;390.215;112.979;187.649
2019-04-11 17:00:00;166.499;391.030;113.679;187.554
2019-04-11 18:00:00;166.453;390.426;112.745;188.135
2019-04-11 19:00:00;166.770;389.622;112.648;187.885
2019-04-11 20:00:00;166.391;389.614;113.106;188.148
2019-04-11 21:00:00;166.714;389.481;112.363;188.458
2019-04-11 22:00:00;166.537;390.762;112.748;188.670
2019-04-11 23:00:00;166.469;390.193;112.558;188.135
2019-04-12 00:00:00;166.684;390.521;112.858;188.516
2019-04-12 01:00:00;166.602;391.284;113.101;188.712
2019-04-12 02:00:00;167.443;391.390;113.317;188.742
2019-04-12 03:00:00;167.800;391.363;113.624;188.256
2019-04-12 04:00:00;167.520;392.171;112.803;187.140
2019-04-12 05:00:00;167.393;392.311;113.386;187.478
2019-04-12 06:00:00;167.760;391.449;113.346;187.839
2019-04-12 07:00:00;167.393;392.786;113.836;188.627
2019-04-12 08:00:00;167.693;392.388;113.660;188.361
2019-04-12 09:00:00;168.179;391.543;113.398;188.904
2019-04-12 10:00:00;167.514;393.129;112.783;188.233
2019-04-12 11:00:00;166.888;391.978;113.425;188.548
2019-04-12 12:00:00;167.752;393.229;113.483;188.315
2019-04-12 13:00:00;167.685;392.622;114.499;188.361
2019-04-12 14:00:00;167.460;391.897;112.970;188.899
2019-04-12 15:00:00;166.807;390.682;113.297;187.654
2019-04-12 16:00:00;166.548;389.949;113.042;188.588
2019-04-12 17:00:00;166.737;390.946;112.610;186.965
2019-04-12 18:00:00;166.997;391.170;113.142;187.662
2019-04-12 19:00:00;166.614;390.363;112.542;188.014
2019-04-12 20:00:00;166.781;390.062;113.098;187.763
2019-04-12 21:00:00;166.418;390.223;112.601;188.369
2019-04-12 22:00:00;167.119;388.823;112.945;187.777
2019-04-12 23:00:00;166.669;390.256;112.929;187.591
2019-04-13 00:00:00;167.003;389.998;112.835;188.379
2019-04-13 01:00:00;166.159;390.747;112.440;187.998
2019-04-13 02:00:00;167.088;390.608;112.735;187.893
2019-04-13 03:00:00;167.467;392.598;113.633;188.306
2019-04-13 04:00:00;167.371;390.578;113.085;188.222
2019-04-13 05:00:00;166.769;391.071;113.174;188.037
2019-04-13 06:00:00;166.836;392.057;113.040;187.904
2019-04-13 07:00:00;167.371;390.414;112.969;187.341
2019-04-13 08:00:00;166.549;391.928;113.240;188.487
2019-04-13 09:00:00;166.787;391.801;113.391;188.266
2019-04-13 10:00:00;166.719;392.261;113.126;188.486
2019-04-13 11:00:00;167.623;390.554;112.682;188.348
2019-04-13 12:00:00;167.535;391.572;   null;188.366
2019-04-13 13:00:00;166.944;392.137;   null;188.078
2019-04-13 14:00:00;167.693;391.481;   null;188.485
2019-04-13 15:00:00;166.694;390.841;   null;188.169
2019-04-13 16:00:00;167.547;391.200;   null;188.805
2019-04-13 17:00:00;167.108;390.960;   null;188.357
2019-04-13 18:00:00;167.364;390.286;   null;188.096
2019-04-13 19:00:00;166.257;391.684;   null;188.724
2019-04-13 20:00:00;166.963;391.585;   null;188.724
2019-04-13 21:00:00;166.830;391.742;   null;188.417
